EXP,Year,Loc,Range,Row,Plot,REP,Nitro,Weed,HYB,Code,STC,PDT,HDT,FDT,FDS,RTA,SDI,PHT,EHT,GWT,MST,TWT,YIELD
REPLICATED TRIAL,2018,Pana,13,17,31302,3,N1,WMINUS,PHHB9*PHR63,UIUC2,26,5/25/2018,10/15/2018,1.93,1.766666667,92.26583333,110,237,116,8.19187152,16.6,58.9,151.3149356
REPLICATED TRIAL,2018,Pana,13,21,31301,3,N1,WMINUS,PHHB9*PHM49,UIUC1,23,5/25/2018,10/15/2018,1.906666667,1.745833333,79.74083333,113.6666667,234,115,8.06940168,18.6,59.3,144.4970414
REPLICATED TRIAL,2018,Pana,13,25,31303,3,N1,WMINUS,PHHB9*PHW30,UIUC3,28,5/25/2018,10/15/2018,1.9,1.743333333,67.9375,99,250,97,NA,NA,NA,NA
REPLICATED TRIAL,2018,Pana,13,29,31309,3,N1,WMINUS,461.2B24,ORG2,26,5/25/2018,10/15/2018,1.893333333,1.73,80.12916667,94,237,125,6.09174056,16.4,56.5,117.5837042
REPLICATED TRIAL,2018,Pana,13,33,31304,3,N1,WMINUS,PHHB9*PHZ51,UIUC4,27,5/25/2018,10/15/2018,1.886666667,1.74,90.4825,93.66666667,250,100,9.07637592,14.9,59.5,169.345234
REPLICATED TRIAL,2018,Pana,13,37,31308,3,N1,WMINUS,PHW52*Q381,UIUC8,17,5/25/2018,10/15/2018,1.896666667,1.756666667,78.29833333,85.16666667,215,70,4.36809096,14.6,58.1,83.75703999
REPLICATED TRIAL,2018,Pana,13,41,31305,3,N1,WMINUS,PHHB9*Q381,UIUC5,22,5/25/2018,10/15/2018,1.886666667,1.755,78.015,110.9166667,213,90,7.17582544,16,58.9,133.5007685
REPLICATED TRIAL,2018,Pana,14,5,32307,3,N1,WPLUS,PHW52*LH185,UIUC7,18,5/25/2018,10/15/2018,1.896666667,1.745,69.92916667,93.33333333,215,95,7.97414736,15.3,57.9,152.1727933
REPLICATED TRIAL,2018,Pana,14,9,32306,3,N1,WPLUS,PHP38*Q381,UIUC6,28,5/25/2018,10/15/2018,1.896666667,1.743333333,76.0425,89.33333333,242,86,7.7791028,15.3,58.5,146.9281343
REPLICATED TRIAL,2018,Pana,14,13,32310,3,N1,WPLUS,17.461,ORG1,31,5/25/2018,10/15/2018,1.933333333,1.761666667,63.08083333,89.5,255,147,8.24176664,15.7,55.5,163.306253
REPLICATED TRIAL,2018,Pana,14,17,32302,3,N1,WPLUS,PHHB9*PHR63,UIUC2,23,5/25/2018,10/15/2018,1.923333333,1.7475,57.6675,137.75,222,100,9.19884576,18,58.8,167.3469388
REPLICATED TRIAL,2018,Pana,14,21,32301,3,N1,WPLUS,PHHB9*PHM49,UIUC1,25,5/25/2018,10/15/2018,1.91,1.746666667,91.59083333,109.4166667,230,95,8.13744048,18,60.8,143.1680162
REPLICATED TRIAL,2018,Pana,14,25,32303,3,N1,WPLUS,PHHB9*PHW30,UIUC3,30,5/25/2018,10/15/2018,1.886666667,1.760833333,82.36833333,118.5,250,113,9.35760296,18.3,60.8,164.0329142
REPLICATED TRIAL,2018,Pana,14,29,32309,3,N1,WPLUS,461.2B24,ORG2,29,5/25/2018,10/15/2018,1.93,1.7525,81.91375,127,225,107,6.1688512,16,57.9,116.7489346
REPLICATED TRIAL,2018,Pana,14,33,32304,3,N1,WPLUS,PHHB9*PHZ51,UIUC4,24,5/25/2018,10/15/2018,1.89,1.716666667,85.94416667,110.9166667,265,104,8.28258992,16.5,59.2,152.397849
REPLICATED TRIAL,2018,Pana,14,37,32308,3,N1,WPLUS,PHW52*Q381,UIUC8,23,5/25/2018,10/15/2018,1.853333333,1.770833333,93.62,80.41666667,212,90,6.69501792,16.2,57.3,127.728864
REPLICATED TRIAL,2018,Pana,14,41,32305,3,N1,WPLUS,PHHB9*Q381,UIUC5,25,5/25/2018,10/15/2018,1.926666667,1.778333333,66.60416667,90.16666667,210,84,8.10568904,14.8,59.1,152.4368486
REPLICATED TRIAL,2018,Pana,15,5,32207,3,N3,WPLUS,PHW52*LH185,UIUC7,21,5/25/2018,10/15/2018,1.843333333,1.755,78.22833333,110.4166667,235,103,9.17616616,15.8,59.5,169.3964497
REPLICATED TRIAL,2018,Pana,15,9,32210,3,N3,WPLUS,17.461,ORG1,29,5/25/2018,10/15/2018,1.933333333,1.775833333,54.58083333,97.66666667,257,145,9.70233288,14.8,56.9,189.5184118
REPLICATED TRIAL,2018,Pana,15,13,32209,3,N3,WPLUS,461.2B24,ORG2,23,5/25/2018,10/15/2018,1.893333333,1.7275,78.2625,108.25,236,115,6.20513856,19.9,55.3,117.2483602
REPLICATED TRIAL,2018,Pana,15,17,32202,3,N3,WPLUS,PHHB9*PHR63,UIUC2,23,5/25/2018,10/15/2018,1.886666667,1.740833333,76.855,146,247,110,9.33492336,15.5,58.3,176.5008576
REPLICATED TRIAL,2018,Pana,15,21,32208,3,N3,WPLUS,PHW52*Q381,UIUC8,21,5/25/2018,10/15/2018,1.886666667,1.719166667,70.2075,109.5833333,220,100,5.87855232,15.9,57.1,112.9479062
REPLICATED TRIAL,2018,Pana,15,25,32205,3,N3,WPLUS,PHHB9*Q381,UIUC5,22,5/25/2018,10/15/2018,1.84,1.7475,83.5625,105,242,97,7.20304096,14.9,58.6,136.4569744
REPLICATED TRIAL,2018,Pana,15,29,32201,3,N3,WPLUS,PHHB9*PHM49,UIUC1,25,5/25/2018,10/15/2018,1.89,1.74125,81.7675,114.75,245,105,9.37574664,18.8,59.9,165.7994093
REPLICATED TRIAL,2018,Pana,17,9,31104,3,N2,WMINUS,PHHB9*PHZ51,UIUC4,24,5/25/2018,10/15/2018,1.84,1.705,95.92625,129.75,262,120,8.60464024,15.6,60.7,156.0753731
REPLICATED TRIAL,2018,Pana,15,37,32206,3,N3,WPLUS,PHP38*Q381,UIUC6,29,5/25/2018,10/15/2018,1.88,1.768333333,98.675,109.1666667,243,95,8.10568904,15.2,59.9,149.6948563
REPLICATED TRIAL,2018,Pana,15,41,32203,3,N3,WPLUS,PHHB9*PHW30,UIUC3,30,5/25/2018,10/15/2018,1.87,1.721666667,86.17166667,118.0833333,270,120,9.85201824,15.8,60.4,179.1629766
REPLICATED TRIAL,2018,Pana,16,5,31207,3,N3,WMINUS,PHW52*LH185,UIUC7,21,5/25/2018,10/15/2018,1.873333333,1.726666667,71.46333333,131.5,232,94,9.34853112,14.9,59.2,175.3069527
REPLICATED TRIAL,2018,Pana,16,9,31210,3,N3,WMINUS,17.461,ORG1,31,5/25/2018,10/15/2018,1.943333333,1.7725,61.64416667,107.25,255,137,8.82690032,15,56.4,173.5385455
REPLICATED TRIAL,2018,Pana,16,13,31209,3,N3,WMINUS,461.2B24,ORG2,28,5/25/2018,10/15/2018,1.906666667,1.735833333,71.66416667,99.16666667,237,124,8.60010432,19.4,54.7,165.310083
REPLICATED TRIAL,2018,Pana,16,17,31202,3,N3,WMINUS,PHHB9*PHR63,UIUC2,26,5/25/2018,10/15/2018,1.906666667,1.775833333,68.125,129.6666667,252,115,9.9336648,15.3,59.6,184.1596839
REPLICATED TRIAL,2018,Pana,16,21,31208,3,N3,WMINUS,PHW52*Q381,UIUC8,15,5/25/2018,10/15/2018,1.845,1.79375,52.4825,167.875,230,95,6.25049776,15.3,58.2,118.6650806
REPLICATED TRIAL,2018,Pana,16,25,31205,3,N3,WMINUS,PHHB9*Q381,UIUC5,29,5/25/2018,10/15/2018,1.896666667,1.7775,50.01083333,184.3333333,237,95,8.76793336,15.8,59,163.2319727
REPLICATED TRIAL,2018,Pana,16,29,31201,3,N3,WMINUS,PHHB9*PHM49,UIUC1,27,5/25/2018,10/15/2018,1.89,1.749166667,80.22083333,118,247,110,10.43715192,16.2,61.7,184.9220795
REPLICATED TRIAL,2018,Pana,18,9,32104,3,N2,WPLUS,PHHB9*PHZ51,UIUC4,25,5/25/2018,10/15/2018,1.83,1.7125,103.7541667,113.8333333,250,133,8.75886152,15.5,62.6,154.2332268
REPLICATED TRIAL,2018,Pana,16,37,31206,3,N3,WMINUS,PHP38*Q381,UIUC6,30,5/25/2018,10/15/2018,1.89,1.745,68.93083333,142,245,95,8.94483424,15.5,59.9,164.6076795
REPLICATED TRIAL,2018,Pana,16,41,31203,3,N3,WMINUS,PHHB9*PHW30,UIUC3,26,5/25/2018,10/15/2018,1.886666667,1.7625,91.57416667,127.6666667,270,122,10.84992064,15.1,60.6,198.2939832
REPLICATED TRIAL,2018,Pana,17,5,31109,3,N2,WMINUS,461.2B24,ORG2,25,5/25/2018,10/15/2018,1.883333333,1.784166667,113.3908333,98.66666667,220,115,3.33843712,20.6,55.7,62.08067309
REPLICATED TRIAL,2018,Pana,15,33,32204,3,N3,WPLUS,PHHB9*PHZ51,UIUC4,27,5/25/2018,10/15/2018,1.883333333,1.735833333,90.49916667,90.5,265,114,9.3439952,15,57.9,178.9455396
REPLICATED TRIAL,2018,Pana,17,13,31101,3,N2,WMINUS,PHHB9*PHM49,UIUC1,28,5/25/2018,10/15/2018,1.903333333,1.740833333,80.16416667,146.6666667,255,140,8.8223644,17.2,60.2,158.2948358
REPLICATED TRIAL,2018,Pana,17,17,31106,3,N2,WMINUS,PHP38*Q381,UIUC6,26,5/25/2018,10/15/2018,1.92,1.761666667,81.70916667,112.6666667,245,96,9.3439952,14.5,60.7,171.6951152
REPLICATED TRIAL,2018,Pana,17,21,31108,3,N2,WMINUS,PHW52*Q381,UIUC8,27,5/25/2018,10/15/2018,1.833333333,1.774166667,87.63083333,99.91666667,235,105,6.35935984,14.5,59.3,119.6114432
REPLICATED TRIAL,2018,Pana,17,25,31102,3,N2,WMINUS,PHHB9*PHR63,UIUC2,27,5/25/2018,10/15/2018,1.866666667,1.7675,71.79666667,173.5,241,114,10.89074392,15.4,59.5,202.0034807
REPLICATED TRIAL,2018,Pana,17,29,31105,3,N2,WMINUS,PHHB9*Q381,UIUC5,26,5/25/2018,10/15/2018,1.916666667,1.770833333,70.32916667,105.9166667,230,103,9.11266328,14.8,61.6,164.4190425
REPLICATED TRIAL,2018,Pana,17,33,31103,3,N2,WMINUS,PHHB9*PHW30,UIUC3,29,5/25/2018,10/15/2018,1.88,1.7525,81.96833333,132.9166667,260,117,9.53450384,15.4,60.2,174.7913267
REPLICATED TRIAL,2018,Pana,17,37,31110,3,N2,WMINUS,17.461,ORG1,30,5/25/2018,10/15/2018,1.943333333,1.785,66.99916667,98.25,265,120,9.38481848,15.1,56.1,185.275765
REPLICATED TRIAL,2018,Pana,17,41,31107,3,N2,WMINUS,PHW52*LH185,UIUC7,25,5/25/2018,10/15/2018,1.903333333,1.79,82.11,96.5,250,112,10.60498096,15.2,57.2,205.0962056
REPLICATED TRIAL,2018,Pana,18,5,32109,3,N2,WPLUS,461.2B24,ORG2,20,5/25/2018,10/15/2018,1.87,1.75,85.09166667,103.3333333,218,100,5.88762416,15.9,57.4,112.5309775
REPLICATED TRIAL,2018,Pana,16,33,31204,3,N3,WMINUS,PHHB9*PHZ51,UIUC4,25,5/25/2018,10/15/2018,1.833333333,1.684166667,94.15916667,129,270,123,9.07184,14.8,61.5,163.9486217
REPLICATED TRIAL,2018,Pana,18,13,32101,3,N2,WPLUS,PHHB9*PHM49,UIUC1,25,5/25/2018,10/15/2018,1.91,1.735833333,77.5925,112.9166667,232,125,8.64999944,16.9,58.7,159.7448666
REPLICATED TRIAL,2018,Pana,18,17,32106,3,N2,WPLUS,PHP38*Q381,UIUC6,28,5/25/2018,10/15/2018,1.9,1.776666667,80.17583333,114.75,237,115,8.10568904,14.9,60,149.9740631
REPLICATED TRIAL,2018,Pana,18,21,32108,3,N2,WPLUS,PHW52*Q381,UIUC8,21,5/25/2018,10/15/2018,1.846666667,1.794166667,115.345,85.33333333,237,95,5.99195032,14.9,58.2,114.2938043
REPLICATED TRIAL,2018,Pana,18,25,32102,3,N2,WPLUS,PHHB9*PHR63,UIUC2,24,5/25/2018,10/15/2018,1.906666667,1.7575,108.0341667,107.25,240,100,9.47553688,15.1,60.5,173.4618808
REPLICATED TRIAL,2018,Pana,18,29,32105,3,N2,WPLUS,PHHB9*Q381,UIUC5,25,5/25/2018,10/15/2018,1.84,1.77125,60.8025,160.875,232,120,8.60464024,14.8,60.8,157.2956244
REPLICATED TRIAL,2018,Pana,18,33,32103,3,N2,WPLUS,PHHB9*PHW30,UIUC3,28,5/25/2018,10/15/2018,1.873333333,1.735,88.2125,123.5,262,115,9.7068688,19.9,60.7,167.0978622
REPLICATED TRIAL,2018,Pana,18,37,32110,3,N2,WPLUS,17.461,ORG1,25,5/25/2018,10/15/2018,1.916666667,1.744166667,64.51583333,99.75,245,125,8.7770052,14.7,53.3,183.2382295
REPLICATED TRIAL,2018,Pana,18,41,32107,3,N2,WPLUS,PHW52*LH185,UIUC7,28,5/25/2018,10/15/2018,1.9,1.771666667,88.51,97.16666667,235,90,NA,NA,NA,NA
REPLICATED TRIAL,2018,Pana,19,5,42102,4,N2,WPLUS,PHHB9*PHR63,UIUC2,24,5/25/2018,10/15/2018,1.876666667,1.72,88.07833333,117.0833333,215,85,8.35516464,16.7,60.8,149.3290642
REPLICATED TRIAL,2018,Pana,19,9,42110,4,N2,WPLUS,17.461,ORG1,30,5/25/2018,10/15/2018,1.93,1.775,78.985,94.5,240,115,9.28502824,15.4,57.9,176.9794892
REPLICATED TRIAL,2018,Pana,23,41,41304,4,N1,WMINUS,PHHB9*PHZ51,UIUC4,25,5/25/2018,10/15/2018,1.833333333,1.689166667,78.18666667,119,265,105,10.32375392,15.3,59.2,192.6847113
REPLICATED TRIAL,2018,Pana,19,17,42109,4,N2,WPLUS,461.2B24,ORG2,31,5/25/2018,10/15/2018,1.893333333,1.739166667,62.70333333,107.5833333,245,115,6.8945984,15.1,55,138.8359333
REPLICATED TRIAL,2018,Pana,19,21,42103,4,N2,WPLUS,PHHB9*PHW30,UIUC3,31,5/25/2018,10/15/2018,1.906666667,1.756666667,71.9875,122.6666667,260,124,9.73862024,15.6,59.8,179.3026063
REPLICATED TRIAL,2018,Pana,19,25,42101,4,N2,WPLUS,PHHB9*PHM49,UIUC1,24,5/25/2018,10/15/2018,1.866666667,1.731666667,108.0358333,111.8333333,240,105,8.83597216,16.3,60.5,159.4675534
REPLICATED TRIAL,2018,Pana,19,29,42106,4,N2,WPLUS,PHP38*Q381,UIUC6,26,5/25/2018,10/15/2018,1.88,1.783333333,68.99833333,112.5,237,111,8.7543256,15.3,60.7,159.3548639
REPLICATED TRIAL,2018,Pana,19,33,42105,4,N2,WPLUS,PHHB9*Q381,UIUC5,26,5/25/2018,10/15/2018,1.853333333,1.718333333,55.51833333,94.58333333,227,85,8.7089664,17,60.8,155.0918717
REPLICATED TRIAL,2018,Pana,19,37,42108,4,N2,WPLUS,PHW52*Q381,UIUC8,19,5/25/2018,10/15/2018,1.886666667,1.7475,63.23583333,98.58333333,222,80,5.6472204,15.1,58.3,107.2807454
REPLICATED TRIAL,2018,Pana,19,41,42107,4,N2,WPLUS,PHW52*LH185,UIUC7,25,5/25/2018,10/15/2018,1.905,1.73875,61.0125,104.5,240,100,NA,NA,NA,NA
REPLICATED TRIAL,2018,Pana,20,5,41102,4,N2,WMINUS,PHHB9*PHR63,UIUC2,21,5/25/2018,10/15/2018,1.856666667,1.7075,89.5675,130.6666667,225,103,8.25083848,17.5,59.9,148.2426332
REPLICATED TRIAL,2018,Pana,20,9,41110,4,N2,WMINUS,17.461,ORG1,29,5/25/2018,10/15/2018,1.916666667,1.76,61.9075,98.66666667,253,100,9.00833712,15.2,57.3,173.91369
REPLICATED TRIAL,2018,Pana,24,41,42304,4,N1,WPLUS,PHHB9*PHZ51,UIUC4,28,5/25/2018,10/15/2018,1.816666667,1.706666667,95.99166667,135,255,118,7.70199216,14.8,57.1,149.9182375
REPLICATED TRIAL,2018,Pana,20,17,41109,4,N2,WMINUS,461.2B24,ORG2,22,5/25/2018,10/15/2018,1.863333333,1.7175,82.96583333,96.83333333,250,130,7.52055536,15.8,56.9,145.1769428
REPLICATED TRIAL,2018,Pana,20,21,41103,4,N2,WMINUS,PHHB9*PHW30,UIUC3,26,5/25/2018,10/15/2018,1.88,1.795,77.29083333,147.25,274,120,10.51426256,15.7,60.7,190.4871177
REPLICATED TRIAL,2018,Pana,20,25,41101,4,N2,WMINUS,PHHB9*PHM49,UIUC1,26,5/25/2018,10/15/2018,1.9,1.763333333,81.6825,107.3333333,247,111,8.84050808,15.3,61.5,158.8303266
REPLICATED TRIAL,2018,Pana,20,29,41106,4,N2,WMINUS,PHP38*Q381,UIUC6,29,5/25/2018,10/15/2018,1.876666667,1.795,72.255,132.5,230,105,9.0945196,15.1,60.2,167.3165386
REPLICATED TRIAL,2018,Pana,20,33,41105,4,N2,WMINUS,PHHB9*Q381,UIUC5,28,5/25/2018,10/15/2018,1.85,1.736666667,77.83083333,129.8333333,237,85,9.24420496,14.8,59.5,172.6792303
REPLICATED TRIAL,2018,Pana,20,37,41108,4,N2,WMINUS,PHW52*Q381,UIUC8,16,5/25/2018,10/15/2018,1.88,1.7775,74.26333333,120,220,94,4.52684816,21.5,57.8,80.20208431
REPLICATED TRIAL,2018,Pana,20,41,41107,4,N2,WMINUS,PHW52*LH185,UIUC7,27,5/25/2018,10/15/2018,1.876666667,1.739166667,83.16333333,102.75,240,99,9.979024,15.2,57.1,193.3284283
REPLICATED TRIAL,2018,Pana,21,5,41205,4,N3,WMINUS,PHHB9*Q381,UIUC5,23,5/25/2018,10/15/2018,1.83,1.771666667,133.2758333,129.0833333,192,100,6.09627648,15.8,60.8,110.1339147
REPLICATED TRIAL,2018,Pana,21,9,41203,4,N3,WMINUS,PHHB9*PHW30,UIUC3,31,5/25/2018,10/15/2018,1.875,1.7275,85.9525,113.625,265,115,NA,NA,NA,NA
REPLICATED TRIAL,2018,Pana,21,13,41201,4,N3,WMINUS,PHHB9*PHM49,UIUC1,28,5/25/2018,10/15/2018,1.9,1.725,107.335,155.25,280,145,9.92459296,19.9,59,175.7685287
REPLICATED TRIAL,2018,Pana,21,17,41208,4,N3,WMINUS,PHW52*Q381,UIUC8,15,5/25/2018,10/15/2018,1.84,1.784166667,83.97666667,109.25,230,92,5.58825344,14.9,58.1,106.7769302
REPLICATED TRIAL,2018,Pana,21,21,41202,4,N3,WMINUS,PHHB9*PHR63,UIUC2,22,5/25/2018,10/15/2018,1.9,1.7525,78.67666667,105.25,240,107,9.5481116,15.8,61.5,170.5306201
REPLICATED TRIAL,2018,Pana,21,25,41210,4,N3,WMINUS,17.461,ORG1,31,5/25/2018,10/15/2018,1.906666667,1.763333333,75.46583333,95.5,270,146,9.07637592,15.2,56.1,178.9754137
REPLICATED TRIAL,2018,Pana,19,13,42104,4,N2,WPLUS,PHHB9*PHZ51,UIUC4,25,5/25/2018,10/15/2018,1.893333333,1.724166667,73.86166667,130,260,105,8.19640744,15.4,61.1,148.0473373
REPLICATED TRIAL,2018,Pana,21,33,41206,4,N3,WMINUS,PHP38*Q381,UIUC6,27,5/25/2018,10/15/2018,1.86,1.689166667,91.2925,124.3333333,245,115,9.2759564,15,59.3,173.4486165
REPLICATED TRIAL,2018,Pana,21,37,41209,4,N3,WMINUS,461.2B24,ORG2,27,5/25/2018,10/15/2018,1.9,1.754166667,96.16333333,106.3333333,247,140,7.030676,15.8,55.4,139.3950398
REPLICATED TRIAL,2018,Pana,21,41,41207,4,N3,WMINUS,PHW52*LH185,UIUC7,27,5/25/2018,10/15/2018,1.883333333,1.800833333,75.99166667,102.8333333,237,96,10.37364904,15.5,58.1,196.8158348
REPLICATED TRIAL,2018,Pana,22,5,42205,4,N3,WPLUS,PHHB9*Q381,UIUC5,17,5/25/2018,10/15/2018,1.87,1.778333333,117.2341667,96.5,200,85,7.5523068,16.1,59.3,139.3910215
REPLICATED TRIAL,2018,Pana,22,9,42203,4,N3,WPLUS,PHHB9*PHW30,UIUC3,0,5/25/2018,10/15/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REPLICATED TRIAL,2018,Pana,22,13,42201,4,N3,WPLUS,PHHB9*PHM49,UIUC1,26,5/25/2018,10/15/2018,1.863333333,1.741666667,100.7675,139.9166667,255,128,9.52996792,18,58.1,175.4595729
REPLICATED TRIAL,2018,Pana,22,17,42208,4,N3,WPLUS,PHW52*Q381,UIUC8,27,5/25/2018,10/15/2018,1.895,1.76,68.35875,129.25,225,94,8.76793336,15.6,59,163.6196971
REPLICATED TRIAL,2018,Pana,22,21,42202,4,N3,WPLUS,PHHB9*PHR63,UIUC2,22,5/25/2018,10/15/2018,1.923333333,1.755,85.01,113,252,114,8.92215464,16,60.4,161.867628
REPLICATED TRIAL,2018,Pana,22,25,42210,4,N3,WPLUS,17.461,ORG1,28,5/25/2018,10/15/2018,1.91,1.76,80.02375,107.625,257,137,8.81782848,14.6,56.4,174.176004
REPLICATED TRIAL,2018,Pana,20,13,41104,4,N2,WMINUS,PHHB9*PHZ51,UIUC4,28,5/25/2018,10/15/2018,1.843333333,1.706666667,113.61,83.66666667,270,120,9.57986304,15.5,58.6,180.2047782
REPLICATED TRIAL,2018,Pana,22,33,42206,4,N3,WPLUS,PHP38*Q381,UIUC6,30,5/25/2018,10/15/2018,1.89,1.746666667,89.34083333,112.9166667,248,95,8.4821704,15,59.6,157.8074739
REPLICATED TRIAL,2018,Pana,22,37,42209,4,N3,WPLUS,461.2B24,ORG2,24,5/25/2018,10/15/2018,1.876666667,1.790833333,88.28333333,113.0833333,250,145,7.1894332,15.8,57.3,137.816124
REPLICATED TRIAL,2018,Pana,22,41,42207,4,N3,WPLUS,PHW52*LH185,UIUC7,26,5/25/2018,10/15/2018,1.863333333,1.7475,96.42583333,102.5833333,258,146,10.33736168,15,57.1,200.7430129
REPLICATED TRIAL,2018,Pana,23,5,41303,4,N1,WMINUS,PHHB9*PHW30,UIUC3,26,5/25/2018,10/15/2018,1.85,1.695,107.19,134.75,255,110,8.67267904,16.3,60.2,157.300517
REPLICATED TRIAL,2018,Pana,23,9,41302,4,N1,WMINUS,PHHB9*PHR63,UIUC2,0,5/25/2018,10/15/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REPLICATED TRIAL,2018,Pana,23,13,41307,4,N1,WMINUS,PHW52*LH185,UIUC7,31,5/25/2018,10/15/2018,1.886666667,1.761666667,100.6308333,102.5,246,138,10.70023528,15.6,57,206.6849372
REPLICATED TRIAL,2018,Pana,23,17,41305,4,N1,WMINUS,PHHB9*Q381,UIUC5,22,5/25/2018,10/15/2018,1.823333333,1.715833333,92.0675,131.1666667,226,95,6.24596184,15.3,58.3,118.3755722
REPLICATED TRIAL,2018,Pana,23,21,41309,4,N1,WMINUS,461.2B24,ORG2,22,5/25/2018,10/15/2018,1.866666667,1.711666667,95.33083333,111.1666667,240,131,7.40715736,15.7,57.7,141.1728693
REPLICATED TRIAL,2018,Pana,23,25,41306,4,N1,WMINUS,PHP38*Q381,UIUC6,28,5/25/2018,10/15/2018,1.9,1.814166667,74.96,107.75,240,103,7.67024072,15,60.6,140.3470229
REPLICATED TRIAL,2018,Pana,23,29,41308,4,N1,WMINUS,PHW52*Q381,UIUC8,27,5/25/2018,10/15/2018,1.87,1.78375,81.42875,113.125,233,105,8.24176664,15.3,60.6,150.272326
REPLICATED TRIAL,2018,Pana,23,33,41310,4,N1,WMINUS,17.461,ORG1,29,5/25/2018,10/15/2018,1.94,1.764166667,65.52333333,94.33333333,235,126,8.5275296,15,56.2,168.2494894
REPLICATED TRIAL,2018,Pana,23,37,41301,4,N1,WMINUS,PHHB9*PHM49,UIUC1,28,5/25/2018,10/15/2018,1.883333333,1.74,89.54416667,132.5833333,246,134,9.84748232,19.1,57.6,180.426015
REPLICATED TRIAL,2018,Pana,21,29,41204,4,N3,WMINUS,PHHB9*PHZ51,UIUC4,29,5/25/2018,10/15/2018,1.803333333,1.694166667,97.79333333,119.5,266,110,9.40296216,15,60.3,172.9076511
REPLICATED TRIAL,2018,Pana,24,5,42303,4,N1,WPLUS,PHHB9*PHW30,UIUC3,15,5/25/2018,10/15/2018,1.83,1.694166667,103.9675,128.0833333,244,100,7.22572056,15.7,60.2,131.9958128
REPLICATED TRIAL,2018,Pana,24,9,42302,4,N1,WPLUS,PHHB9*PHR63,UIUC2,28,5/25/2018,10/15/2018,1.833333333,1.716666667,87.65916667,134.3333333,268,121,8.00136288,15.8,59.6,147.461181
REPLICATED TRIAL,2018,Pana,24,13,42307,4,N1,WPLUS,PHW52*LH185,UIUC7,32,5/25/2018,10/15/2018,1.903333333,1.73,101.0008333,93.08333333,240,115,11.07218072,16.2,56.9,212.7222055
REPLICATED TRIAL,2018,Pana,24,17,42305,4,N1,WPLUS,PHHB9*Q381,UIUC5,3,5/25/2018,10/15/2018,1.843333333,1.710833333,82.85666667,166.8333333,198,77,1.5648924,13.3,53,33.39455175
REPLICATED TRIAL,2018,Pana,24,21,42309,4,N1,WPLUS,461.2B24,ORG2,23,5/25/2018,10/15/2018,1.865,1.71,92.37875,105.875,224,102,7.04881968,15.4,57.2,135.9999172
REPLICATED TRIAL,2018,Pana,24,25,42306,4,N1,WPLUS,PHP38*Q381,UIUC6,31,5/25/2018,10/15/2018,1.936666667,1.758333333,73.62583333,93.66666667,230,115,6.58615584,15.9,58.7,123.0942613
REPLICATED TRIAL,2018,Pana,24,29,42308,4,N1,WPLUS,PHW52*Q381,UIUC8,32,5/25/2018,10/15/2018,1.91,1.7725,70.83875,85.625,218,66,9.14441472,16,59.7,167.8451429
REPLICATED TRIAL,2018,Pana,24,33,42310,4,N1,WPLUS,17.461,ORG1,31,5/25/2018,10/15/2018,1.95,1.77125,52.91375,86.875,260,152,8.391452,15.5,57.3,161.4310646
REPLICATED TRIAL,2018,Pana,24,37,42301,4,N1,WPLUS,PHHB9*PHM49,UIUC1,23,5/25/2018,10/15/2018,1.883333333,1.763333333,68.9975,122.3333333,235,104,9.60254264,17.5,61.3,168.5883761
REPLICATED TRIAL,2018,Pana,22,29,42204,4,N3,WPLUS,PHHB9*PHZ51,UIUC4,27,5/25/2018,10/15/2018,1.86,1.7075,87.415,120.75,285,141,9.67058144,15.3,59.2,180.493763
REPLICATED TRIAL,2018,Macomb,1,5,11204,1,N2,WMINUS,PHHB9*PHZ51,UIUC4,14,6/7/2018,11/20/2018,1.866666667,1.7125,72.1575,108.0833333,243,95,5.99648624,17.5,58,111.2681085
REPLICATED TRIAL,2018,Macomb,1,9,11203,1,N2,WMINUS,PHHB9*PHW30,UIUC3,25,6/7/2018,11/20/2018,1.896666667,1.719166667,79.37333333,107.0833333,250,94,6.45915008,20,54.3,124.1404862
REPLICATED TRIAL,2018,Macomb,1,13,11210,1,N2,WMINUS,17.461,ORG1,19,6/7/2018,11/20/2018,1.91,1.729166667,72.28416667,95.08333333,222,107,6.19606672,17.5,51.2,130.241078
REPLICATED TRIAL,2018,Macomb,1,17,11207,1,N2,WMINUS,PHW52*LH185,UIUC7,23,6/7/2018,11/20/2018,1.876666667,1.7175,96.03083333,103.75,221,84,NA,NA,NA,NA
REPLICATED TRIAL,2018,Macomb,1,21,11206,1,N2,WMINUS,PHP38*Q381,UIUC6,26,6/7/2018,11/20/2018,1.87,1.7275,95.515,112.5833333,197,77,2.8803092,18.1,56,54.95192308
REPLICATED TRIAL,2018,Macomb,1,25,11205,1,N2,WMINUS,PHHB9*Q381,UIUC5,20,6/7/2018,11/20/2018,1.926666667,1.746666667,75.02416667,96.66666667,205,77,6.25503368,18.5,53.3,124.769364
REPLICATED TRIAL,2018,Macomb,1,29,11208,1,N2,WMINUS,PHW52*Q381,UIUC8,27,6/7/2018,11/21/2018,1.873333333,1.686666667,76.79,97.41666667,186,71,3.29761384,17,54.4,65.63370171
